LST S1PAGING:;%%
RETCODE = 0  操作成功
输出结果如下：
--------------
 框号    槽号    进程号  移动国家码_移动网号  eNodeB类型  eNodeB标识  Tracking area ID  RAT类型    NB-IoT Default Paging DRX
 1       4       2       46000                MACRO_ENB   279564      460007352         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   541626      460007383         WB-EUTRAN  10.24秒                  
 1       4       2       46000                MACRO_ENB   463280      460007434         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   255898      4600073CF         WB-EUTRAN  NULL                     
(结果个数 = 80)
仍有后续报告输出
---    END
+++    USN/*MEID:6 MENAME:CSMME03BHW*/        2018-05-21 15:02:19+08:00
O&M    #51074
%%
LST S1PAGING:;%%
RETCODE = 0  操作成功
输出结果如下：
--------------
 框号    槽号    进程号  移动国家码_移动网号  eNodeB类型  eNodeB标识  Tracking area ID  RAT类型    NB-IoT Default Paging DRX
 1       4       2       46000                MACRO_ENB   256193      460001F6B         NB-IoT     2.56秒                   
 1       4       2       46000                MACRO_ENB   55295       46000744A         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   541523      4600073C3         WB-EUTRAN  10.24秒                  
 1       4       2       46000                MACRO_ENB   55507       46000744A         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   1037988     460007333         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   255370      460007433         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   255873      46000742C         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   396497      4600073C3         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   55596       460007446         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   463171      460007383         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   542085      460007434         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   775766      460007428         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   254790      460007428         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   138584      46000744D         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   55272       46000744B         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   463412      46000744A         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   541648      46000E360         WB-EUTRAN  10.24秒                  
 1       4       2       46000                MACRO_ENB   775380      46000E360         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   1037918     4600073CF         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   255863      46000744D         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   537619      46000E352         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   775223      460007433         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   463369      46000742C         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   537196      46000E353         WB-EUTRAN  2.56秒                   
 1       4       2       46000                MACRO_ENB   254642      460007448         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   55455       46000744D         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   541648      460001F59         NB-IoT     10.24秒                  
 1       4       2       46000                MACRO_ENB   775862      46000742D         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   255192      4600073C3         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   55233       460007363         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   774948      46000E3FA         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   395466      46000E36D         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   537196      460001F4F         NB-IoT     2.56秒                   
 1       4       2       46000                MACRO_ENB   463411      46000742C         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   254648      46000744B         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   1037967     46000E360         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   1037219     46000E352         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   255019      460007383         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   255717      4600073CF         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   255284      46000742C         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   136079      460007352         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   279405      460007382         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   254881      46000742C         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   278796      46000E3FA         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   537793      46000E3FA         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   55310       460007383         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   254669      46000E360         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   55266       4600073CF         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   279439      46000E3F9         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   463313      460007428         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   542050      46000744C         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   537259      460001F52         NB-IoT     2.56秒                   
 1       4       2       46000                MACRO_ENB   396639      460007373         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   135885      46000E3FB         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   1038394     46000742C         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   138391      460007333         WB-EUTRAN  NULL                     
